key,value
tag,default
method,schur
n_users,317080
n_groups,5136
alpha,2.2000000000000002
s_min,1
s_max,50
user_mean,3
user_r_max,20
ug_normalize_groups,1
su_distribution,uniform
exp_lambda,1
power_alpha,2
power_min,1
power_max,100
k_ws,6
p_ws,0.10000000000000001
user_graph_weight,0.15100974791055433
enable_group_graph,0
group_overlap_threshold,0.5
group_graph_target_mean_degree,1
lambda_user,1
lambda_group,0.0001
outer_max_iters,200
outer_tol,1e-08
inner_max_iters,200
inner_tol,1e-08
clique_use_weights,0
schur_jacobi,1
full_system_jacobi,1
direct_max_dim,50000
seed,1
outer_iters,29
inner_iters,2100
inner_seconds,0.07613911700000002
seconds,0.55421699000000002
relative_residual,7.1045923322673798e-09
disagreement,264.93202092137244
internal_conflict,271.26133483400145
polarization,629.02334663429633
controversy,1046.4383293645492
nnz_w,661639
max_s_g,1.0000000000001761
sum_s_g_sq,5135.9964695754616
user_cross_deg_mean,0.01619779940132066
user_cross_deg_max,1.1928510103491323
group_cross_deg_mean,0.99999965618602793
group_cross_deg_max,1.0000000000001761
user_graph_deg_mean,0.99999999999984179
user_graph_deg_max,51.796343533364983
group_graph_deg_mean,1
group_graph_deg_max,44.839285359092003
